user,comment,sentiment,labeler
SHSHOX !,The villain is going to be hard to defeat especially when you cant see him,neutral,idel
Marko T.,Fast Furious 20- Toreto find out that he is his own father...,neutral,idel
syed nazzim,In the post-credit scene Nick fury hires Vin diesel for an avenger.,neutral,idel
Chris,Fast and furious 10: The last ride Fast and furious 11: The final last ride Fast and furious 12: The final last ride - part 2 Fast and furious 13: The new ride,neutral,idel
mr burnik,"Next chapter : Hitler joins the crew its now ""FAST NEIN""",neutral,idel
JaysonCreates,The infinity stones really did bring everyone back,positive,idel
TraceFit By Kundai Murapa,This trailer apparently has Doms brother but i cant see him.,neutral,idel
nachi316,Sir Issac Newton: “How many laws of physics are you gonna defy?” Justin Lin: “Yes”.,neutral,idel
A O,Remember when F&F was about cars and racing... SMH,negative,idel
Josh Juarez,"Dom- ""Family is everything"" Whole movie Tries to kill his brother.",neutral,idel
Ill slap ya mum with an Argos catalogue,Dom: Family is the most important thing in the world Also dom: did I forget to mention my brother these past 20 years.,neutral,idel
samira noor,furious 10 - the resurrection of gisele furious 11 - brian: surprise surprisee,neutral,idel
Dávid Nagy,This is absurd really....still gonna pay for it.,negative,idel
john wick,Han the type of guy to survive even corona virus.,neutral,idel
Arfeen Rahat,Forget the trailerI came here to read comments????,neutral,idel
milan dhara,Doms brother was here since F&F you just...,neutral,idel
IDoNothingButCommentOnVideos,Fast And Furious 10: Doms Hair Is Back To Kill Him,neutral,idel
Benton Xavier,Please tell me thats not a Pontiac Fiero strapped to a rocket engine Two films later...,negative,idel
420BlazeiT 01,Dom being chased by a whole army shooting at him constantly while blowing nukes behind him and going 120mph on a mountain Doms Face: ·___·,neutral,idel
IRHasDiabetes911,"The Fast and the Furious: ""Well be making movies forever!"" Coronavirus: ""You have to be stopped.""",neutral,idel
Cherry Stone,I remember when it was about Street Racing and stealing DVD players lol,neutral,idel
Batuhan Erbil,I mean in 1:30 how did Dom just flied and hit his head to the ceiling I cant understand is this the new Paranormal Activity movie,neutral,idel
Sandu SG,Where is Jason Statham where is Dwayne Johnson? Wtf?,negative,idel
Fidelia Amanda,i wish Paul could survived on an accident car like han does,neutral,idel
Iketani Koichiro,If Paul was still alive he wouldve changed the movies purpose back into cars,neutral,idel
Doctor Sam,Fast 10: Your grandfather Vince Mcmahon is back to kill you Dom. Fast 11: Your uncle HHH is back Dom. Fast 12: Your dad Shawn Michaels is getting his hands on nuclear weapons Dom. Fast 13: Your prom dates brother AJ Styles coming for you Dom,neutral,idel
Neon,When i call my friends and my lil brother call his friends.,neutral,idel
Jetfire97,2:35 rip Hans car,neutral,idel
SILENT D. A.,Sean from Tokyo Drift is in this. Slow the video down and watch when the “rocket strapped to a Pontiac fiaro “clip is playing,neutral,idel
awsome,Fast and the furious 1 - 3 about cars with some background on the characters. 4-9 pure hype trash with basically nothing about cars.,negative,idel
Saurav Samal,Stephen Hawkins just rolled in his grave witnessing the physics here,negative,idel
Jason Gann,Family is everything thats why in the past 8 movies when his life was on the line no one & I mean no one ever mentioned doms brother. ??x100k,negative,idel
virgilio moncada,So now that Han is back can we have a second Tokyo drift? This time with Eurobeat please.,positive,idel
Wreck Pw,Fast 10: Superpowers basically Director: We not gonna stop until this crew beats Galactus with the Avengers,negative,idel
supercar playz,John cena the invisible assassin PLOT TWIST: Hes not their.,neutral,idel
I Slay Goblins,FF6: You dont turn your back on Family even when they do. FF9: Were gonna fight Doms little brother.,neutral,idel
The Fox,i always interested to have a look all those supreme editors.,positive,idel
Hero Nerd,Dom: Im gonna take you down little brother. Jacob: how can you take down what you cant see?,neutral,idel
??????Al laklak,Who is here because its the only movie trailer on trendending in quarentine,neutral,idel
InZomnia365,Tell me youre not thinking what Im thinking. Classic.,negative,idel
tommy d,Best supporting actor: Hans potato chips,neutral,idel
yaniyosun fuat abi,The Rock vs Vin Diesel 2010 John Cena vs Vin Diesel 2020 Megatron vs Vin Diesel 2030 God vs Vin Diesel 2040,negative,idel
David Turashvili,All the closed roads in Tbilisi Georgia last summer seem to be paying off. Compliments the movie :),negative,idel
The Fox,Editors are the master of movie making actually.,positive,idel
Elton Cassar,When this movie comes out its gonna break the Cinema Sins sin counter. The internet is gonna crash.,positive,idel
Maldonado Fitness,Fast and Furious: where no one stays dead and everyone has a secret brother...,neutral,idel
omari woods,I felt like sponge bob floating when I heard feel the love,neutral,idel
tudor patrascu,F&F 10:Dom learns that Letty is his sister,neutral,idel
FBI,Remember When Furious Was About Racing?,negative,idel
Benton Xavier,0:09 Spending time on a farm with the family trying to fix a tractor on retirement but eventually getting dragged back into business cliche,negative,idel
Sam s,Let me guess what happens at the end: John Cena and vin get on same team to take out someone else.,neutral,idel
RIthvik Bangari,for real john cena jesus... why do ppl still watch this franchise XDDD,negative,idel
Christos Papadopoulos,We miss the old fast and furious !,negative,idel
CnDy_Network _254,Really cena is in the moviedamn this is gonna be AMAZING,positive,idel
Brandon BAUCE,I guarantee John cena is gonna day you cant see me on some walky talky or somthing,negative,idel
,John Cena is Doms brother Me: Ye Im probably not gonna see this thats just horrible.. Han is back from the dead Me: On second thought...,positive,idel
The Esconar,Remember when it was just about racing not anymore,negative,idel
iLikeCelicazAndSupraz,Jhon cena: you cant see me Han: hold my bag of chips,neutral,idel
Huginn Hjartarson,Oh My God! Dom And Mia Have A Brother!,positive,idel
Mai Vang,Im glad they bringing back Brians “wife” ??,positive,idel
usha suresh,Fast and furious 20: Dom crews vs Avengers And Thanos,neutral,idel
Kenneth Zubiri,jungle swing in a mustang cliff to cliff takes it.,positive,idel
Golden Pineal Gland,I just seen the whole movie in one trailer. Thanks on saving me some money.,negative,idel
tonymontana1231,Imagine if they brind back Paul after huge conspiracy.,neutral,idel
Rohit Bobli,Forget about John Cena ... First check whether the Chinese men at the end has corona or not,negative,idel
Karim Charara,"How many rules of physics do you want to break? Director: ""Yes""",neutral,idel
*:RickK* *RocKStar:*,The Slow and the Elderly. ????????,negative,idel
Neha Singh,2:36 scene same to same bollywood movie saaho scene,neutral,idel
Junias Nangolo,This trailer really makes me dance the action going with the beat..??,neutral,idel
Atomic Beauty,I cant believe out of all actors to be Dom brother he pick John Cena really TF i cant take this FF9 serious but whatever,negative,idel
Astitva Srivastava,Nobody: FF9 Marketing team: Lets release the whole movie on YouTube.,negative,idel
Mimah 101,3:11 is where I completely lost all my brain cells. I cant count how many times I went back to try to figure out in someway just how...what...HOW???,neutral,idel
Alphawolf,Yo the ending remind me of need for speed 2014 yall remember that sence,neutral,idel
?Cxpid?,It breaks my heart to know that the Rock aint in it but sorta happy John cena is :3,positive,idel
Black Hat,I love how they went from stealing cd players to catching cars 1:13,negative,idel
Eddie Cardwell,FF23 - “Being a Grandpa doesnt mean you put the keys down and retire from the wheel. Living your life a quarter of a mile at a time is eternal. Now my Grandson wants to take over the world and I must stop him.”,neutral,idel
Bradley Moon,As a fast and furious fan I dont think I can watch this. None of it is how it used to be in the original films.,negative,idel
Edi,Me: this is trash Kid cudi: i can still feeeel the looove,positive,idel
stillbad,XDDDDD THIS SUMMER XDDDDD,positive,idel
zanzir,Furious 10: the one more last final ride... To be continued.....,negative,idel
Yammietime450,Remember when they just raced and stole dvd players on the side ??,neutral,idel
Ivy The Blind Husky,If a 7 years old played hot wheels this would be the end result. ??,negative,idel
Cyrius Alga Oktama,Hehehe its mission impossible boys just rename it,negative,idel
Son Goku,Wwe kill his character now its time for John to conquer the Hollywood..,positive,idel
Sam Bakal,I am looking forward this moment when this movie will be released,positive,idel
Secret Youtuber,No one: Literally no one: Dom: FAMILY,neutral,idel
itsmeeaustin,Anyone: has nissan Me: its tokyo drift time,neutral,idel
culturelee95,In the end Jacob team up with Dom against Cipher... P/S: man you should really secured your network Universal Studio.,neutral,idel
Mistrrr,Toyota: no racing games for u Also Toyota: lol heres some bs international crime with a mk5 supra,neutral,idel
Asuka Langley,Doms brother driving a Mustang instead of a dodge meaning he is the complete opposite of Dom SO ORIGINAL,negative,idel
ferdiman,I remember when they were stealing dvd players and driving Honda Civics,neutral,idel
Devosce,Fast and the furious: avengers of days of the future cyber Arkham city.,neutral,idel
Mad Skillz,I am going to watch this movie because of one thing and one thing only because of Han.,positive,idel
Ggg Ggg,1:19 I cant stop replaying that uppercut.,positive,idel
Brian Reale,Theyre gonna keep making these until they run out of cars!??,negative,idel
P L,Remember: This started out as just Illegal street racing.,neutral,idel
Cris TR,Has it got a car in it? Yep its Fast and Furious.,negative,idel
jim holroyd,1:10 Liberty Square Tbilisi...St Georges Column,neutral,idel
Sasha Atoyan,So who ever died in fast 6 there going to come back to life so trun out body dies in fast 6 also who ever dies in fast 9 in fast 10 there going to back back to life next big thing we are going to know is brain is not dead he come back to life in fast and furious 20 in 2025 or 2030,negative,idel
Octavius Thomas,Im under the impression that the fast family are going up against super soldiers. Cipher must have some new tech for Jakob,positive,idel
Letho Forbay,Got a feeling that we just watched the whole movie in 4 minutes.,negative,idel
Fabio Silva,finally a mustangmy model) as the villains car!,positive,idel
TruKat,"Fast and furious without Paul is just ""Furious"" you know what i mean? xD",neutral,idel
apple juice,Tonys snap really brought back Han from the dead...,neutral,idel
Felipe Iz,Fast 9: Doms car: ohahahahaaaahaaaahaahhhhh Tarzans cry),neutral,idel
Florin N,Bro the producers are just trolling the fans at this moment.,negative,idel
Khuong,"OMG that is ""Han""",positive,idel
hadi heydari,"The name shouldve been ""fast & furious & fictional with a chance of car falls!!.. It did fall in f8",negative,idel
KikoMachine,doesnt feel like fast n furious anymore because theres no Paul Walker : RIP,neutral,idel
Michael Ryan Moran,i like how they started the series.. Now its getting wild.. I think ill watch it until EPISODE 99: The rise of Paul TORRETO!,negative,idel
JarMenDoto,Stunt choreographer : How do you want to defy the gravity this time? Director : Yes.,negative,idel
New Wave Psychopath,One last ride... Again.,positive,idel
?????,What the hans alive!!!!im so excited!!,positive,idel
BTS love,The whole time watching it I was just screaming damm nothing is better than FF,positive,idel
Emperor,An accurate depiction of street racing.,neutral,idel
Jesse Meyer,“THERES NO BRIDGE” Trust me... were in a fast and furious movie,negative,idel
BxGirl Blazin,Dom knew the whole time that Han was alive for whatever reason. Also when it comes between Jacob and Dom good guys always out do the bad. If you fight with love in your heart youll beat the one with hate in theirs.,positive,idel
R Reed,Remember when we was just stealing dvd players,neutral,idel
AdelinFTW,The interesting part in this trailer is the music,positive,idel
Jeevan Dhanoliya,Its start is just like avenger infinity Whatever be i am too excited,positive,idel
boris brian,FF 7: Car jump from building to building FF 8: Lot of cars jump from building FF9: Car jump from mountain to mountain FF10: intergalactic car jump,neutral,idel
Havok1988,Heres an idea for the beginning of Fast and Furious 9. Dom and Letty attend a Street Racing event in New York where they meet Brians little brother played by Cody Walker who Dom challenges to a race. The rest of the movie plays out the same with another plot twist. Not only does Han come back but Leon also returns as well as Jessie whom we all thought died in the first movie. Sean will finally join the Street Racing family hell be shocked to see his mentor Han is alive and want revenge on Cipher. They need to bring back the NOS Tanks and the NOS Button steering wheels as well as the Street Racing cars.,neutral,idel
Pulotu Paletua,THERES NO BRIDGE! but theres a rope,neutral,idel
Jayden Cartmell,Plot twist: Haun comes back from Tokyo drift?,neutral,idel
[YT]NinjaD,1:14 Who is he? Me: HIS NAME IS JOHN CENA,neutral,idel
lingeswaran nagarajan,Climax: John cena either dies or joins with Diesel for future adventures ??????,neutral,idel
Vishal Giri,The movie that Gravity forgot ??,neutral,idel
Kyle Martin,The Fast and Furious brought in John Cena for the WWE storylines,neutral,idel
Future Prediction,Who does the trailers for these movies? Honestly they reveal the entire way plot structure of the Movie. Just like Hobbs and Shaw,negative,idel
Sarkari News,Without Paul Walker No fast and furious Still missing you,neutral,idel
Connor Kelly,Me: Im done with fast and furious Han: Nice clubhouse,neutral,idel
Ge Ja,A lot of computerized scenes like some Indian movies ????,negative,idel
han car,Dolphins return to Italy. Meanwhile in the fast and furious...,neutral,idel
Raimundo MØRELL,The only reason why im going to watch this film is because of the characters of Tokio drift,negative,idel
Marco Chan,F&F is the reason for the recent plague because theyre the ones always promoting coronavirus,negative,idel
AMB,whos dom brother i cant see him,neutral,idel
Labeed Mansoor,Imagine what if The Rock and John Cena would have a face-to-face in the movie.....Wwe moves...,neutral,idel
neihana hekr,Breaking news...The voltic rocket from gta v made it into fast and furious damn??????,neutral,idel
414MrMilwaukee,FAST & FURIOUS 20: THE FASTEST WHEELCHAIR,neutral,idel
Arjun Singh,Did anyone else say the exact same thing Ludacris when they saw that Fiero ?,neutral,idel
The Man Called Sting,John Cena gets run over by a car Still kicks out at 2,neutral,idel
Uncle Janggut,2:17 is that Gaijin? ??,neutral,idel
Cooper Flood,Glad to see they still havent reused a naming scheme.,negative,idel
Vaskidan,Fast and furious 10: the secret step sister.,neutral,idel
young young,I guess FF director hired wrestling superstar :) this movie is my favorite since i was a child,positive,idel
Sam Vermax,FF5 : Dom vs The rockHobbs) FF9: Dom vs John CenaJacob) FF10: Dom vs Bautista FF11: Dom vs Steve Austin,neutral,idel
Ahmed alrajhi10000 Gaming,I saw VOX cinema on the Instagram it says fast and furious 9 will release on April 2021 I am not kidding Im seriously,neutral,idel
Juan Martinez_,Were all gonna be in quarantine when this comes out,neutral,idel
Ahmed Gamer,I cant see Doms Brother ????,neutral,idel
Rajat Varkad,Fast 10 : Dads return Fast 11: Moms secret Fast 12: Das was not my Dad!!!,neutral,idel
Vincent Keremete-Davies,man at this point Paul Walker could come back I wouldnt even be surprised.,neutral,praise
Bay Area Coalition,This makes me miss the early 2000s.,negative,praise
Shape Shifter,Question: What is Simple Jack doing in Fast and Furious? 1:44,neutral,praise
Mr. Kapalot,Ion like her cut hair I dont feel Im watching fast n furious without her long hair,negative,praise
citi chan,Could we have a Tesla in the saga? Im a big fan of Tesla.,neutral,praise
Ankit Jain,For last 8 movies Doms brother was there but You couldnt See him.,negative,praise
FinalouT,3:44 rly ?? Supra .. where is legend Mazda ?? Where hmm ??,negative,praise
Benton Xavier,"F1: ""Hey we should drive our cars in the streets"" F10+...: ""Hey we should drive our cars through the Arctic while getting chased by a submarine. Hey we should drive our cars in an airport and make them fly. Hey we should drive our cars through buildings. Hey we should drive our cars in space.""",negative,praise
Kxbi_,We have to wait a hole year......,neutral,praise
jayy ceballos,For me It would be a good ending in fast & furious 10 that dom sacrifices his life for his family & use cgi of Paul walkers brothers & make it seem like he reunites with Paul in heaven. That would be great ending for the series franchise???????,neutral,praise
Rahman Agayev,Avengers: Endgame was more realistic than ff9 ??,negative,praise
Alex Doherty,These movies a progressing exactly like gta online with the rocket cars,neutral,praise
Kaelo Sefanele,wow! I cant wait for fast9 im also happy that Han is back!,positive,praise
Igor,Lol. This trailer is like all FnF movies in one. Awesome made. No need to go in theater though) Everything is here),negative,praise
alex tonche,This villain is gonna be hard to defeat If you cant see him,neutral,praise
Viraj Gawade,I was expecting Dom to save the world from aliensIm disappointed.,negative,praise
The Pizzo,This is so bad... yet Im somehow going to watch it in like 3 years,negative,praise
Andrew Russell,"2:34 Deadpool: ""Batman did it before me and I still made it look cooler than you.""",negative,praise
Khalida Halkoum,One questio . If Jakob is doms brother so.. Wher was he all this time ???,neutral,praise
Your One Black Friend Who Gave you the N Word Pass,This reminds me of the Hot Wheels movies that used to come on Toonami back in the day.,negative,praise
KrieGor27,The trailer is cool and all but I cant wait till they finally show this Doms brother theyre all talking about.,positive,praise
The All American Bad Boy,this series has gone off the rails in the best way.,positive,praise
Gustavo Ortiz,DOM - “ ASIAN BRO BROBACK!”,positive,praise
AJ Dumass,you shouldve put meg ryan in this movie.. with clark kent from smallville as the CEO villain for john cena,neutral,praise
Tate Schmaltz,I honestly think theyll still be making Fast and Furious movies in 50 years from now. They never end.,neutral,praise
P1SC3S,Physics has left the chat Engineering has the left the chat But most importantly,neutral,praise
badinfo 7878,Han is back............ My faith in the series as been restored.,positive,praise
Ayo Lui,Damn if we still had Paul walker here ??,neutral,praise
kenneth Lopez,Anyone notice ho Sean from Tokyo drift is there in the trailer,neutral,praise
God Parody,Q.Where was Dom brother all this time? Ans. All these years Dom brother was working for WWE by the name of Johncena,neutral,praise
BergerMan Gaming,- Dom is married and settled in the farm -Dom getting stronger and stronger in every movie - Law of physics still dont appy on Dom - Han is coming back to life,positive,praise
Marek Satina,remember when these films used to be about racing? and cars...?,neutral,praise
Edvin Sundholm,wtf has happend to fast & the furious dude i miss tokyo drift,negative,praise
Jamal Bata,Fast and Furious: exist Physics: am i a joke to you ?,negative,praise
angel beats fan 2018,I dont know why is han there you guys saw Tokyo drift and furious 6 right,neutral,praise
Existence is pain,Predicting the end of this movie: Randy Orten RKOs John Cena out of nowhere.,neutral,praise
derrick avery,? Wear was dom brother when the last fast & Furious films was playing huh somebody tell me that,neutral,praise
